Title,Director,Star Cast,Year,IMDb Rating,MetaScore,Certificates,Genre,Duration (minutes)
The Biggest Little Farm,John Chester,John Chester,2018,8,73,PG,Documentary,91
Pokémon the Movie 2000,Kunihiko Yuyama,Veronica Taylor,1999,6.1,28,G,Animation,99
When Hitler Stole Pink Rabbit,Caroline Link,Riva Krymalowski,2019,7,54,PG,Biography,100
Return from Witch Mountain,John Hough,Bette Davis,1978,5.7,51,G,Adventure,95
Summer Magic,James Neilson,Hayley Mills,1963,6.9,57.1,G,Comedy,110
Tall Tale,Jeremiah S. Chechik,Patrick Swayze,1995,5.9,57.1,PG,Adventure,96
The Powerpuff Girls Movie,Craig McCracken,Cathy Cavadini,2002,6.5,65,PG,Animation,73
Camp Hideout,Sean Olson,Corbin Bleu,2023,4.4,57.1,PG,Comedy,100
St Trinian's 2: The Legend of Fritton's Gold,Oliver Parker,Rupert Everett,2009,5.3,57.1,Not Rated,Adventure,106
The Wild Thornberrys,Cathy Malkasian,Tim Curry,2002,5.6,69,PG,Animation,85
The Care Bears Movie,Arna Selznick,Georgia Engel,1985,5.6,46,G,Animation,77
DuckTales the Movie: Treasure of the Lost Lamp,Bob Hathcock,Alan Young,1990,6.8,57.1,G,Animation,74
Noelle,Marc Lawrence,Anna Kendrick,2019,6.3,48,G,Comedy,100
The Dirt Bike Kid,Hoite C. Caston,Peter Billingsley,1985,5.3,57.1,PG,Comedy,90
A Family Affair,George B. Seitz,Lionel Barrymore,1937,6.6,57.1,Approved,Comedy,69
Mune: Guardian of the Moon,Alexandre Heboyan,Omar Sy,2014,7.1,57.1,PG,Animation,85
Shin Jigen! Crayon Shin-chan the Movie,Hitoshi Ône,Yumiko Kobayashi,2023,6.5,57.1,PG,Animation,100
Dr. Dolittle 2,Steve Carr,Eddie Murphy,2001,4.7,49,PG,Comedy,87
Return to Never Land,Robin Budd,Blayne Weaver,2002,5.8,49,G,Animation,72
Doraemon Nobita no Takarajima,Kazuaki Imai,Wasabi Mizuta,2018,6.6,57.1,PG,Animation,100
Christmas on Cherry Lane,Gail Harvey,Catherine Bell,2023,6.1,57.1,TV-G,Family,90
